TimeOccur,GeoX,GeoY,Type
05/20/2022 04:04:55,245894850,96074750,BURGLARY
05/20/2022 00:30:59,247213325,94676431,THEFT BY TAKING
05/19/2022 12:17:59,246653525,95485819,BURGLARY
05/19/2022 06:00:00,246595200,95362281,THEFT BY TAKING
05/19/2022 04:00:00,247070375,94146106,THEFT BY TAKING
05/18/2022 19:39:00,244872975,95255069,THEFT BY TAKING
05/17/2022 20:45:00,246643850,95278244,THEFT OF MOTOR
05/17/2022 11:39:59,246667500,96066050,BURGLARY
05/17/2022 00:00:00,245668650,93467750,THEFT OF LOST/
05/16/2022 21:11:00,244842025,95379325,THEFT BY TAKING
05/16/2022 19:00:00,243549425,95678506,ASSAULT OR BATT
05/16/2022 14:22:00,246325175,93693906,THEFT BY TAKING
05/16/2022 08:00:00,246537750,95267243,THEFT OF MOTOR
05/16/2022 06:47:01,246294800,95264438,ROBBERY
05/15/2022 21:43:00,246823550,96017650,BURGLARY
05/15/2022 19:50:00,246716925,95832931,ASSAULT OR BATT
05/15/2022 10:40:59,245628500,94408606,THEFT BY DECEPT
05/15/2022 10:00:59,245630675,95288556,THEFT BY TAKING
05/14/2022 22:43:00,245501300,96017431,DRUG OVERDOSE
05/14/2022 18:00:00,245598350,94362594,THEFT BY TAKING
05/14/2022 17:45:00,246824725,94768019,ASSAULT OR BATT
05/14/2022 12:00:00,246390800,96129494,ASSAULT OR BATT
05/13/2022 18:36:59,246477775,96118319,THEFT BY TAKING
05/13/2022 18:00:00,246165150,95082144,THEFT BY TAKING
05/13/2022 17:13:59,246716425,95846069,THEFT BY TAKING
05/13/2022 15:57:59,244321475,95324894,THEFT BY TAKING
05/13/2022 14:00:00,246696000,95343256,THEFT BY TAKING
05/13/2022 10:33:59,244321475,95324894,THEFT OF MOTOR
05/13/2022 06:40:00,245853975,95258494,ASSAULT OR BATT
05/12/2022 22:00:00,244065850,95188725,THEFT BY TAKING
05/12/2022 21:24:59,243503400,93600963,BURGLARY
05/12/2022 20:26:59,244842025,95379325,THEFT BY TAKING
05/12/2022 19:30:00,243963125,95159725,THEFT BY TAKING
05/12/2022 15:30:59,244183850,95144938,THEFT BY TAKING
05/12/2022 15:00:00,246174675,95680175,BURGLARY
05/12/2022 02:00:59,246619475,96117944,ROBBERY
05/12/2022 00:04:59,246102850,94146206,ASSAULT OR BATT
05/11/2022 20:11:00,246082850,95263012,ASSAULT OR BATT
05/11/2022 14:19:00,247404550,93476213,ASSAULT OR BATT
05/11/2022 14:10:59,246165050,95244900,ASSAULT OR BATT
05/11/2022 03:00:00,246639550,95506013,LARCENY-BICYCLE
05/11/2022 00:00:59,246860175,92969944,BURGLARY
05/10/2022 19:45:00,245466525,93574294,THEFT BY TAKING
05/10/2022 14:32:59,244152275,93883919,THEFT BY TAKING
05/10/2022 13:17:59,245361925,94359488,THEFT BY TAKING
05/09/2022 20:17:59,246005025,95261156,THEFT OF MOTOR
05/09/2022 16:00:00,246442675,94264031,THEFT BY TAKING
05/09/2022 13:00:00,247142550,94898006,THEFT BY TAKING
05/09/2022 01:53:00,246144875,95465700,THEFT BY TAKING
05/09/2022 01:00:00,245978900,95122113,THEFT BY TAKING
05/08/2022 20:40:00,246085425,96342243,THEFT BY TAKING
05/08/2022 05:50:59,246165050,95244900,THEFT BY TAKING
05/07/2022 22:59:59,245466525,93574294,ASSAULT OR BATT
05/07/2022 20:00:00,246918450,95855800,THEFT OF MOTOR
05/07/2022 19:21:59,246436450,94151538,ASSAULT OR BATT
05/07/2022 18:00:00,245121975,94697731,THEFT OF MOTOR
05/07/2022 17:00:00,246271900,95575150,BURGLARY
05/07/2022 14:00:59,245924075,95764150,BURGLARY
05/07/2022 10:01:59,246027425,94404944,THEFT BY TAKING
05/07/2022 00:17:00,244917800,95256194,THEFT BY TAKING
05/06/2022 23:00:00,246081925,95090963,THEFT BY TAKING
05/06/2022 18:00:59,246027425,94404944,THEFT OF MOTOR
05/06/2022 17:00:00,247314800,94580738,THEFT BY TAKING
05/06/2022 10:13:00,244613375,94704050,THEFT BY TAKING
05/06/2022 00:00:09,246585000,95971675,THEFT OF MOTOR
05/05/2022 16:30:59,245287175,92874131,THEFT BY TAKING
05/04/2022 22:34:59,246823550,96017650,ASSAULT OR BATT
05/04/2022 15:54:59,244209625,92791413,THEFT BY TAKING
05/04/2022 14:47:59,244925075,95354831,THEFT BY TAKING
05/04/2022 12:00:00,245158075,92726625,LARCENY-BICYCLE
05/04/2022 10:00:00,245764550,95360781,ASSAULT OR BATT
05/04/2022 08:54:32,246716925,95832931,ASSAULT OR BATT
05/04/2022 08:00:00,246537750,95267244,THEFT OF MOTOR
05/04/2022 05:00:59,245361225,95255656,ASSAULT OR BATT
05/04/2022 00:00:00,246085550,96343206,THEFT BY TAKING
05/03/2022 16:37:59,246125400,95341306,THEFT BY TAKING
05/03/2022 13:40:00,246782725,96280894,BURGLARY
05/03/2022 08:10:00,244842025,95379325,THEFT OF MOTOR
05/03/2022 04:30:00,245247775,95884406,THEFT BY TAKING
05/03/2022 00:00:59,246223750,95081706,THEFT OF MOTOR
05/03/2022 00:00:00,245267250,95080994,ASSAULT OR BATT
05/03/2022 00:00:00,245783425,95610493,THEFT BY TAKING
05/03/2022 00:00:00,246518675,95693250,THEFT BY TAKING
05/02/2022 09:03:59,242806925,95091138,THEFT BY TAKING
05/02/2022 06:00:00,244842025,95379325,THEFT BY TAKING
05/01/2022 20:36:59,246678700,96132106,BURGLARY
05/01/2022 19:00:59,246046100,95629644,BURGLARY
05/01/2022 17:07:59,245838325,95463344,THEFT BY TAKING
05/01/2022 15:14:59,244915150,95276806,THEFT BY DECEPT
05/01/2022 14:00:09,246165050,95244900,ASSAULT OR BATT
05/01/2022 11:55:00,244823250,95280181,THEFT BY TAKING
05/01/2022 10:37:59,244525200,95252725,ASSAULT OR BATT
05/01/2022 06:00:00,244842025,95379325,THEFT BY TAKING
05/01/2022 03:30:00,245767000,95775750,THEFT BY TAKING
05/01/2022 00:00:00,246632100,95309875,BURGLARY
04/30/2022 21:03:00,245010200,93411613,THEFT BY TAKING
04/30/2022 17:42:00,246682850,95204906,ASSAULT OR BATT
04/30/2022 16:40:00,246768750,94853681,THEFT BY TAKING
04/30/2022 02:31:00,245377725,95281744,ASSAULT OR BATT
04/29/2022 19:54:00,244774000,92486075,ASSAULT OR BATT
04/29/2022 15:36:00,244183725,95456438,BURGLARY
04/29/2022 13:00:00,245067125,94990213,THEFT BY TAKING
04/29/2022 04:30:00,245714025,96172350,THEFT OF MOTOR
04/29/2022 00:00:00,246104530,94214487,THEFT BY TAKING
04/28/2022 22:30:00,246322725,94408706,THEFT OF MOTOR
04/28/2022 18:00:00,246566800,94951969,BURGLARY
04/28/2022 17:53:00,245312550,95241668,ARSON
04/28/2022 14:37:00,242766325,94067000,ASSAULT OR BATT
04/27/2022 02:30:00,246566800,94951969,BURGLARY
04/27/2022 00:00:00,246057305,94484651,THEFT OF MOTOR
04/26/2022 20:00:00,247055000,95148875,LARCENY-BICYCLE
04/26/2022 18:55:00,246429800,95908344,ASSAULT OR BATT
04/26/2022 04:30:00,245297725,95287819,THEFT OF MOTOR
04/26/2022 00:00:00,246731789,94247542,THEFT BY TAKING
04/24/2022 20:12:00,246843800,96198431,BURGLARY
04/24/2022 15:00:00,246555750,94937713,BURGLARY
04/24/2022 15:00:00,246705400,95812731,ASSAULT OR BATT
04/24/2022 15:00:00,246402175,95742437,THEFT BY TAKING
04/24/2022 12:00:00,244732575,93295275,BURGLARY
04/24/2022 07:03:00,245684775,95281250,THEFT OF MOTOR
04/24/2022 01:00:00,246188375,94069138,THEFT OF MOTOR
04/24/2022 00:43:00,246733075,95741243,BURGLARY
04/23/2022 23:30:00,245600650,94933288,ASSAULT OR BATT
04/23/2022 21:44:00,243548875,95522525,BURGLARY
04/23/2022 18:33:00,245217400,93268256,THEFT BY TAKING
04/23/2022 18:10:00,245466525,93574294,THEFT BY TAKING
04/23/2022 18:00:00,246621950,92576313,THEFT OF MOTOR
04/23/2022 14:45:00,246524300,96408319,BURGLARY
04/23/2022 01:45:00,244952850,95218188,ASSAULT OR BATT
04/23/2022 00:00:00,246268850,94184300,THEFT BY TAKING
04/23/2022 00:00:00,244204450,95041063,THEFT BY TAKING
04/22/2022 15:42:00,244990350,95255231,THEFT BY TAKING
04/22/2022 15:10:00,246101125,95833913,ASSAULT OR BATT
04/22/2022 00:00:00,246885300,94700575,LARCENY-BICYCLE
04/21/2022 17:00:00,245073500,94835075,BURGLARY
04/21/2022 12:00:00,245943800,95788200,THEFT BY TAKING
04/21/2022 06:30:00,245963425,96314956,BURGLARY
04/20/2022 18:00:00,245894850,96074750,THEFT OF MOTOR
04/20/2022 13:34:00,244799375,95333731,ASSAULT OR BATT
